"CPU Core1","CPU Core2","CPU Core3","CPU Core4"
"42","39","38","36"
"37","41","39","38"
"36","38","37","36"
"36","36","37","34"
"36","39","37","35"
"36","37","37","35"
"37","40","38","37"
"39","41","39","38"
"39","48","39","39"
"38","45","40","38"
"40","50","40","40"
"39","47","43","39"
"38","44","39","38"
"39","48","42","39"
"37","38","38","36"
"38","39","39","38"
"38","38","38","37"
"39","49","42","38"
"39","41","39","38"
"39","39","38","38"
"45","55","44","49"
"41","45","44","43"
"43","46","48","44"
"47","44","42","50"
"37","38","38","36"
"37","38","38","36"
"37","38","38","37"
"36","37","37","36"
"36","38","38","36"
"36","37","38","36"
"39","45","42","39"
"38","38","38","37"
"39","40","40","39"
"39","44","41","40"
"38","39","39","38"
"46","49","49","48"
"38","40","40","38"
"39","40","39","37"
"37","37","38","36"
"37","42","40","38"
"39","42","45","39"
"37","38","38","37"
"40","38","38","36"
"37","40","39","37"
"35","37","37","36"
"36","38","38","36"
"40","43","43","40"
"39","45","41","41"
"37","41","39","38"
"36","37","37","36"
"37","38","44","37"
"37","40","39","37"
"37","38","38","36"
"38","39","40","38"
"37","38","37","36"
"36","40","37","36"
"37","39","40","39"
"36","37","37","35"
"38","41","39","38"
"38","42","40","38"
"40","47","47","42"
"37","38","40","36"
"37","38","38","36"
"42","49","41","41"
"37","38","39","36"
"39","42","44","39"
"41","40","40","41"
"36","37","37","36"
"36","37","37","36"
"37","38","38","38"
"37","38","38","36"
"36","38","39","37"
"35","37","38","35"
"38","48","42","39"
"36","38","38","36"
"38","38","38","37"
"36","37","37","35"
"36","37","37","35"
"36","36","37","35"
"37","36","37","36"
"36","38","38","36"
"36","36","37","36"
"36","37","37","35"
"36","37","37","36"
"35","36","37","35"
"35","36","37","34"
"35","36","36","34"
"35","36","36","34"
"35","37","37","36"
"36","37","37","36"
"37","38","38","36"
"36","37","36","34"
"36","36","36","35"
"36","38","37","36"
"36","37","37","36"
"35","37","38","35"
"36","36","37","35"
"36","37","37","35"
"36","37","37","36"
"36","38","37","38"
"36","38","37","35"
"36","38","37","35"
"35","36","37","35"
"35","37","36","34"
"35","37","36","34"
"35","37","37","35"
"35","36","37","34"
"36","37","37","35"
"35","36","36","34"
"34","36","37","34"
"36","38","38","36"
"36","36","38","36"
"36","36","38","36"
"36","38","38","37"
"36","38","45","36"
"36","37","37","34"
"36","36","37","35"
"36","38","39","36"
"35","38","36","35"
"36","38","37","36"
"37","39","38","38"
"37","40","37","36"
"36","37","36","35"
"36","36","37","34"
"36","38","37","36"
"38","42","43","38"
"36","39","38","36"
"36","37","37","35"
"36","37","37","36"
"37","41","39","37"
"39","39","38","36"
"37","38","38","36"
"36","36","37","35"
"37","40","39","36"
"36","37","37","35"
"41","41","39","43"
"37","37","38","36"
"40","42","41","40"
"35","37","37","35"
"38","37","41","36"
"36","38","37","36"
"36","37","37","35"
"38","37","37","36"
"36","38","37","35"
"36","38","38","36"
"36","38","38","37"
"38","39","39","38"
"37","38","38","36"
"39","39","42","38"
"39","41","40","40"
"39","41","39","38"
"38","40","39","38"
"38","36","37","36"
"36","37","37","35"
"36","37","38","36"
"39","40","39","37"
"36","37","38","36"
"37","38","37","36"
"37","38","38","36"
"38","38","37","37"
"38","40","38","37"
"36","38","38","36"
"38","42","40","38"
"39","42","39","38"
"39","39","38","37"
"37","40","38","38"
"38","37","38","35"
"35","36","37","35"
"38","48","39","37"
"37","38","38","36"
"35","37","37","35"
"36","37","37","35"
"35","36","37","35"
"37","37","37","35"
"35","36","37","34"
"37","38","37","35"
"36","36","37","35"
"38","40","43","39"
"35","36","36","35"
"35","36","36","34"
"36","36","37","36"
"36","37","37","36"
"34","36","37","34"
"37","36","37","34"
"38","38","37","36"
"36","38","38","36"
"35","36","36","34"
"37","36","37","36"
"35","37","36","34"
"36","37","37","36"
"36","36","36","36"
"35","36","37","35"
"35","35","36","34"
"35","36","36","34"
"35","36","37","34"
"35","35","36","34"
"35","35","36","34"
"37","36","37","34"
"35","35","36","34"
"35","37","37","34"
"35","35","36","34"
"35","35","37","34"
"35","35","37","34"
